path,bytes,class,why
docs/DOMAIN_MODEL.md,37337,cited-code,src/db/schema/_shared.ts src/db/schema/company.ts src/db/schema/operations.ts src/domain/money.ts src/domain/vat/engine.ts
docs/PORTAL.md,3985,cited-code,src/app/portal/actions.ts
docs/RULES_KB.md,114058,cited-code,src/db/schema/irishRules.ts src/domain/rules/irishRules.ts src/domain/rules/sourceHierarchy.ts src/domain/rules/taxRateSync.ts src/domain/rules/testCases.ts src/domain/rules/transactionLookup.ts src/domain/rules/vatcaCuration.ts src/domain/rules/vatcaIngestion.ts src/domain/rules/vatcaParser.ts
docs/RUNNING.md,28281,cited-docs,README.md AGENTS.md
docs/SPECIFICATION.md,31153,cited-docs,README.md
docs/TRUST.md,7576,cited-docs,README.md
docs/rules/README.md,1395,unreferenced,
docs/rules/coverage-matrix.json,94949,runtime,read by the test suite
docs/statutes/282-2011/articles-10-13b-establishment.md,5175,cited-code,src/domain/rules/transactionLookup.ts src/domain/rules/vatcaCuration.ts
docs/statutes/282-2011/consolidated-282-2011.md,123226,cited-docs,docs/statutes/282-2011/articles-10-13b-establishment.md docs/statutes/SOURCE-REGISTER.md
docs/statutes/CURRENT-REGISTER.md,3782,cited-docs,docs/statutes/README.md
docs/statutes/CURRENT-REGISTRATION.md,1640,cited-docs,docs/statutes/CURRENT-REGISTER.md docs/statutes/README.md
docs/statutes/README.md,11855,cited-docs,docs/RULES_KB.md docs/statutes/SOURCE-REGISTER.md docs/statutes/finance-act-2024/README.md …
docs/statutes/SOURCE-REGISTER.md,13355,cited-code,src/domain/rules/taxRateSync.ts
docs/statutes/_inbox/A/SOURCES.txt,668,unreferenced,
docs/statutes/_inbox/A/finance-act-2025-enacted-print.html,847145,cited-docs,docs/statutes/_inbox/A/SOURCES.txt
docs/statutes/_inbox/A/finance-act-2025-enacted.md,486168,duplicate,docs/statutes/finance-act-2025/2025-act-18-enacted.md
docs/statutes/_inbox/A/finance-act-2025-enacted.pdf,1008901,duplicate,docs/statutes/finance-act-2025/2025-act-18-enacted.pdf
docs/statutes/_inbox/A/si-2025-684-print.html,31168,unreferenced,
docs/statutes/_inbox/A/si-2025-684.md,1467,unreferenced,
docs/statutes/_inbox/A/si-2025-685-print.html,32405,unreferenced,
docs/statutes/_inbox/A/si-2025-685.md,2076,unreferenced,
docs/statutes/_inbox/A/si-2025-686-print.html,31933,unreferenced,
docs/statutes/_inbox/A/si-2025-686.md,1848,unreferenced,
docs/statutes/_inbox/A/si-2025-687-print.html,32425,unreferenced,
docs/statutes/_inbox/A/si-2025-687.md,2047,unreferenced,
docs/statutes/_inbox/A/si-2026-305-print.html,24700,unreferenced,
docs/statutes/_inbox/A/si-2026-305.md,1075,unreferenced,
docs/statutes/_inbox/A/si-2026-306-print.html,24512,unreferenced,
docs/statutes/_inbox/A/si-2026-306.md,946,unreferenced,
docs/statutes/_inbox/A/si-2026-324-print.html,24499,unreferenced,
docs/statutes/_inbox/A/si-2026-324.md,941,unreferenced,
docs/statutes/_inbox/B/SOURCES.txt,449,unreferenced,
docs/statutes/_inbox/B/vatca-s013.html,12247,original,docs/statutes/_inbox/B/vatca-s013.md
